time,solar,demand,price,carbon_intensity
2024-01-02 20:00:00,10.823,3.749,0.1299,153.05
2024-01-02 21:00:00,10.327,3.511,0.1277,165.26
2024-01-02 22:00:00,9.177,3.266,0.1215,175.04
2024-01-02 23:00:00,8.961,2.733,0.1197,182.67
2024-01-03 00:00:00,0.000,2.403,0.1129,265.27
2024-01-03 01:00:00,0.000,2.022,0.1107,259.93
2024-01-03 02:00:00,0.000,1.644,0.1062,273.10
2024-01-03 03:00:00,0.000,1.253,0.1019,258.42
2024-01-03 04:00:00,0.000,1.031,0.0980,264.27
2024-01-03 05:00:00,0.000,0.865,0.0985,259.88
2024-01-03 06:00:00,0.000,0.808,0.0980,261.77
2024-01-03 07:00:00,1.396,0.835,0.0974,261.47
2024-01-03 08:00:00,2.914,0.986,0.0992,226.20
2024-01-03 09:00:00,4.054,1.260,0.1009,220.68
2024-01-03 10:00:00,5.517,1.624,0.1035,203.25
2024-01-03 11:00:00,6.505,1.956,0.1093,194.07
2024-01-03 12:00:00,7.618,2.400,0.1148,195.51
2024-01-03 13:00:00,8.667,2.783,0.1169,173.71
2024-01-03 14:00:00,9.848,3.266,0.1246,170.56
2024-01-03 15:00:00,10.273,3.626,0.1255,161.07
2024-01-03 16:00:00,10.109,3.763,0.1283,161.38
2024-01-03 17:00:00,10.661,4.063,0.1290,154.12
2024-01-03 18:00:00,10.611,3.895,0.1346,148.92
2024-01-03 19:00:00,11.311,4.019,0.1327,153.92
2024-01-03 20:00:00,10.954,3.871,0.1316,156.30
2024-01-03 21:00:00,10.474,3.457,0.1274,167.13
2024-01-03 22:00:00,9.837,3.239,0.1209,169.79
2024-01-03 23:00:00,8.940,2.824,0.1181,171.37
2024-01-04 00:00:00,0.000,2.466,0.1126,262.91
2024-01-04 01:00:00,0.000,1.943,0.1082,273.98
2024-01-04 02:00:00,0.000,1.554,0.1060,251.64
2024-01-04 03:00:00,0.000,1.307,0.1006,258.26
2024-01-04 04:00:00,0.000,0.995,0.0977,276.19
2024-01-04 05:00:00,0.000,0.835,0.0973,268.34
2024-01-04 06:00:00,0.000,0.807,0.0965,254.19
2024-01-04 07:00:00,1.455,0.847,0.0963,245.86
2024-01-04 08:00:00,2.708,1.038,0.0987,244.47
2024-01-04 09:00:00,4.126,1.248,0.1034,220.59
2024-01-04 10:00:00,5.409,1.644,0.1040,199.15
2024-01-04 11:00:00,6.457,1.964,0.1085,204.84
2024-01-04 12:00:00,7.968,2.415,0.1122,179.33
2024-01-04 13:00:00,8.561,2.887,0.1177,179.23
2024-01-04 14:00:00,9.802,3.236,0.1212,170.75
2024-01-04 15:00:00,10.626,3.621,0.1293,161.73
2024-01-04 16:00:00,10.363,3.833,0.1287,165.04
2024-01-04 17:00:00,11.335,3.839,0.1340,149.93
2024-01-04 18:00:00,11.338,4.092,0.1300,155.61
2024-01-04 19:00:00,11.088,3.967,0.1335,148.95
2024-01-04 20:00:00,10.123,3.743,0.1297,165.09
2024-01-04 21:00:00,10.119,3.466,0.1278,156.61
2024-01-04 22:00:00,9.647,3.267,0.1240,168.96
2024-01-04 23:00:00,8.549,2.828,0.1179,182.61
2024-01-05 00:00:00,0.000,2.421,0.1146,257.23
2024-01-05 01:00:00,0.000,2.010,0.1109,264.06
2024-01-05 02:00:00,0.000,1.644,0.1066,255.08
2024-01-05 03:00:00,0.000,1.246,0.1034,272.48
2024-01-05 04:00:00,0.000,0.988,0.0983,256.91
2024-01-05 05:00:00,0.000,0.871,0.0992,265.38
2024-01-05 06:00:00,0.000,0.792,0.0971,275.26
2024-01-05 07:00:00,1.385,0.848,0.0984,247.08
2024-01-05 08:00:00,2.779,1.034,0.1002,246.55
2024-01-05 09:00:00,4.109,1.245,0.1037,227.04
2024-01-05 10:00:00,5.405,1.639,0.1046,210.01
2024-01-05 11:00:00,6.541,1.985,0.1093,199.58
2024-01-05 12:00:00,7.473,2.338,0.1154,187.82
2024-01-05 13:00:00,8.575,2.885,0.1194,174.26
2024-01-05 14:00:00,9.346,3.214,0.1244,177.12
2024-01-05 15:00:00,10.233,3.442,0.1262,160.81
2024-01-05 16:00:00,10.308,3.863,0.1320,165.38
2024-01-05 17:00:00,10.438,4.011,0.1288,160.40
2024-01-05 18:00:00,10.673,4.058,0.1332,146.74
2024-01-05 19:00:00,10.952,3.983,0.1307,151.19
2024-01-05 20:00:00,10.507,3.898,0.1272,157.40
2024-01-05 21:00:00,10.400,3.428,0.1277,167.48
2024-01-05 22:00:00,9.815,3.291,0.1210,163.30
2024-01-05 23:00:00,8.652,2.838,0.1177,178.78
2024-01-06 00:00:00,0.000,2.339,0.1150,275.30
2024-01-06 01:00:00,0.000,1.952,0.1078,255.37
2024-01-06 02:00:00,0.000,1.581,0.1046,276.42
2024-01-06 03:00:00,0.000,1.299,0.1008,257.09
2024-01-06 04:00:00,0.000,1.014,0.1001,263.07
2024-01-06 05:00:00,0.000,0.866,0.0981,274.50
2024-01-06 06:00:00,0.000,0.781,0.0983,260.19
2024-01-06 07:00:00,1.414,0.855,0.0958,249.84
2024-01-06 08:00:00,2.958,1.035,0.0988,227.56
2024-01-06 09:00:00,4.097,1.270,0.1000,232.14
2024-01-06 10:00:00,5.753,1.643,0.1044,219.14
2024-01-06 11:00:00,6.575,2.031,0.1099,190.57
2024-01-06 12:00:00,7.857,2.381,0.1122,179.19
2024-01-06 13:00:00,9.104,2.730,0.1175,176.25
2024-01-06 14:00:00,9.703,3.249,0.1239,169.05
2024-01-06 15:00:00,10.593,3.452,0.1271,166.84
2024-01-06 16:00:00,10.846,3.674,0.1282,155.27
2024-01-06 17:00:00,10.413,4.000,0.1319,156.34
2024-01-06 18:00:00,11.420,4.082,0.1336,148.77
2024-01-06 19:00:00,11.004,4.025,0.1288,150.49
2024-01-06 20:00:00,10.424,3.889,0.1312,151.10
2024-01-06 21:00:00,9.848,3.468,0.1279,163.12
2024-01-06 22:00:00,9.860,3.120,0.1224,169.80
2024-01-06 23:00:00,8.799,2.750,0.1173,178.80
2024-01-07 00:00:00,0.000,2.426,0.1124,258.19
2024-01-07 01:00:00,0.000,1.937,0.1095,264.06
2024-01-07 02:00:00,0.000,1.611,0.1040,265.69
2024-01-07 03:00:00,0.000,1.295,0.1030,262.97
2024-01-07 04:00:00,0.000,1.035,0.0992,266.29
2024-01-07 05:00:00,0.000,0.855,0.0956,263.66
2024-01-07 06:00:00,0.000,0.806,0.0950,264.47
2024-01-07 07:00:00,1.501,0.848,0.0983,242.21
2024-01-07 08:00:00,2.777,1.016,0.0978,226.35
2024-01-07 09:00:00,4.128,1.239,0.1029,216.47
2024-01-07 10:00:00,5.458,1.618,0.1062,214.85
2024-01-07 11:00:00,6.756,1.998,0.1099,187.69
2024-01-07 12:00:00,7.486,2.369,0.1160,183.47
2024-01-07 13:00:00,8.890,2.794,0.1194,175.36
2024-01-07 14:00:00,9.843,3.245,0.1236,169.63
2024-01-07 15:00:00,10.175,3.519,0.1263,161.29
2024-01-07 16:00:00,10.938,3.890,0.1283,163.35
2024-01-07 17:00:00,11.042,4.057,0.1295,161.72
2024-01-07 18:00:00,11.357,4.081,0.1316,155.06
2024-01-07 19:00:00,10.558,3.849,0.1307,150.33
2024-01-07 20:00:00,10.475,3.689,0.1311,163.66
2024-01-07 21:00:00,10.132,3.487,0.1257,168.15
2024-01-07 22:00:00,9.149,3.173,0.1227,168.13
2024-01-07 23:00:00,9.140,2.849,0.1211,182.00
2024-01-08 00:00:00,0.000,2.420,0.1165,270.11
2024-01-08 01:00:00,0.000,1.929,0.1101,274.93
2024-01-08 02:00:00,0.000,1.578,0.1055,251.79
2024-01-08 03:00:00,0.000,1.248,0.1020,250.92
2024-01-08 04:00:00,0.000,1.029,0.1002,277.03
2024-01-08 05:00:00,0.000,0.864,0.0993,259.21
2024-01-08 06:00:00,0.000,0.819,0.0965,255.99
2024-01-08 07:00:00,1.395,0.833,0.0964,249.61
2024-01-08 08:00:00,2.816,1.010,0.0987,236.74
2024-01-08 09:00:00,4.354,1.233,0.1002,227.21
2024-01-08 10:00:00,5.297,1.573,0.1062,211.27
2024-01-08 11:00:00,6.487,1.987,0.1120,197.92
2024-01-08 12:00:00,7.411,2.332,0.1131,190.99
2024-01-08 13:00:00,8.500,2.763,0.1202,172.51
2024-01-08 14:00:00,9.140,3.229,0.1218,168.19
2024-01-08 15:00:00,10.655,3.541,0.1290,168.72
2024-01-08 16:00:00,10.428,3.722,0.1299,161.31
2024-01-08 17:00:00,11.439,3.967,0.1308,156.54
2024-01-08 18:00:00,10.592,4.074,0.1295,148.24
2024-01-08 19:00:00,11.346,3.829,0.1296,161.74
2024-01-08 20:00:00,10.632,3.855,0.1317,150.55
2024-01-08 21:00:00,10.356,3.573,0.1253,167.42
2024-01-08 22:00:00,9.681,3.169,0.1238,162.82
2024-01-08 23:00:00,8.527,2.756,0.1192,176.73
2024-01-09 00:00:00,0.000,2.379,0.1141,270.87
2024-01-09 01:00:00,0.000,1.978,0.1089,264.36
2024-01-09 02:00:00,0.000,1.596,0.1073,277.12
2024-01-09 03:00:00,0.000,1.257,0.1019,265.04
2024-01-09 04:00:00,0.000,1.015,0.0975,275.50
2024-01-09 05:00:00,0.000,0.849,0.0984,254.19
2024-01-09 06:00:00,0.000,0.778,0.0952,263.84
2024-01-09 07:00:00,1.473,0.850,0.0962,240.64
2024-01-09 08:00:00,2.747,0.985,0.0975,224.06
2024-01-09 09:00:00,4.311,1.238,0.1025,212.69
2024-01-09 10:00:00,5.589,1.577,0.1070,204.33
2024-01-09 11:00:00,6.453,2.041,0.1103,191.00
2024-01-09 12:00:00,7.806,2.397,0.1131,187.48
2024-01-09 13:00:00,8.681,2.822,0.1206,177.25
2024-01-09 14:00:00,9.443,3.280,0.1250,163.59
2024-01-09 15:00:00,10.667,3.616,0.1260,164.79
2024-01-09 16:00:00,10.193,3.801,0.1285,155.54
2024-01-09 17:00:00,10.383,3.882,0.1323,158.72
2024-01-09 18:00:00,11.484,4.006,0.1345,152.26
2024-01-09 19:00:00,10.800,3.912,0.1336,149.58
2024-01-09 20:00:00,10.305,3.890,0.1316,152.77
2024-01-09 21:00:00,9.990,3.432,0.1279,169.76
2024-01-09 22:00:00,9.398,3.176,0.1219,170.78
2024-01-09 23:00:00,9.124,2.846,0.1195,178.51
2024-01-10 00:00:00,0.000,2.469,0.1163,269.56
2024-01-10 01:00:00,0.000,1.933,0.1089,274.59
2024-01-10 02:00:00,0.000,1.622,0.1054,251.24
2024-01-10 03:00:00,0.000,1.267,0.1005,275.67
2024-01-10 04:00:00,0.000,1.041,0.1011,272.47
2024-01-10 05:00:00,0.000,0.850,0.0961,252.30
2024-01-10 06:00:00,0.000,0.820,0.0975,272.09
2024-01-10 07:00:00,1.425,0.837,0.0978,257.24
2024-01-10 08:00:00,2.792,1.044,0.1000,228.17
2024-01-10 09:00:00,4.039,1.262,0.1016,232.36
2024-01-10 10:00:00,5.506,1.570,0.1051,206.16
2024-01-10 11:00:00,6.465,1.968,0.1094,196.07
2024-01-10 12:00:00,7.603,2.419,0.1124,189.08
2024-01-10 13:00:00,8.823,2.735,0.1181,180.09
2024-01-10 14:00:00,9.790,3.178,0.1221,172.90
2024-01-10 15:00:00,10.419,3.428,0.1283,158.77
2024-01-10 16:00:00,10.186,3.688,0.1294,157.50
2024-01-10 17:00:00,10.427,3.867,0.1293,149.32
2024-01-10 18:00:00,10.731,3.935,0.1295,150.53
2024-01-10 19:00:00,10.963,3.892,0.1306,154.80
2024-01-10 20:00:00,10.985,3.849,0.1322,151.04
2024-01-10 21:00:00,10.468,3.514,0.1244,159.92
2024-01-10 22:00:00,9.939,3.269,0.1230,174.05
2024-01-10 23:00:00,8.804,2.881,0.1202,171.05
2024-01-11 00:00:00,0.000,2.334,0.1158,257.14
2024-01-11 01:00:00,0.000,1.997,0.1091,255.14
2024-01-11 02:00:00,0.000,1.554,0.1045,261.36
2024-01-11 03:00:00,0.000,1.270,0.1033,254.99
2024-01-11 04:00:00,0.000,1.043,0.0976,261.54
2024-01-11 05:00:00,0.000,0.844,0.0973,253.90
2024-01-11 06:00:00,0.000,0.823,0.0970,264.72
2024-01-11 07:00:00,1.417,0.861,0.0978,251.30
2024-01-11 08:00:00,2.855,1.038,0.0978,231.97
2024-01-11 09:00:00,4.044,1.232,0.1025,228.80
2024-01-11 10:00:00,5.601,1.623,0.1056,199.22
2024-01-11 11:00:00,6.764,1.988,0.1114,206.40
2024-01-11 12:00:00,7.609,2.415,0.1122,185.00
2024-01-11 13:00:00,8.621,2.794,0.1211,170.79
2024-01-11 14:00:00,9.751,3.292,0.1216,166.82
2024-01-11 15:00:00,10.106,3.564,0.1284,161.12
2024-01-11 16:00:00,11.114,3.837,0.1297,149.97
2024-01-11 17:00:00,11.420,3.989,0.1332,158.09
2024-01-11 18:00:00,11.372,4.011,0.1303,156.15
2024-01-11 19:00:00,10.460,4.020,0.1305,156.37
2024-01-11 20:00:00,10.174,3.812,0.1275,159.90
2024-01-11 21:00:00,9.948,3.545,0.1283,168.96
2024-01-11 22:00:00,9.394,3.131,0.1234,168.46
2024-01-11 23:00:00,8.906,2.824,0.1176,177.62
2024-01-12 00:00:00,0.000,2.462,0.1155,275.62
2024-01-12 01:00:00,0.000,1.947,0.1117,257.05
2024-01-12 02:00:00,0.000,1.645,0.1036,264.30
2024-01-12 03:00:00,0.000,1.249,0.0999,254.34
2024-01-12 04:00:00,0.000,1.012,0.1011,251.56
2024-01-12 05:00:00,0.000,0.875,0.0967,254.87
2024-01-12 06:00:00,0.000,0.793,0.0956,267.64
2024-01-12 07:00:00,1.414,0.855,0.0974,243.44
2024-01-12 08:00:00,2.955,0.994,0.0994,239.49
2024-01-12 09:00:00,4.185,1.304,0.1029,226.63
2024-01-12 10:00:00,5.241,1.647,0.1061,210.15
2024-01-12 11:00:00,6.962,1.947,0.1100,188.49
2024-01-12 12:00:00,7.490,2.346,0.1156,179.00
2024-01-12 13:00:00,8.850,2.809,0.1178,173.04
2024-01-12 14:00:00,9.640,3.204,0.1230,166.58
2024-01-12 15:00:00,10.123,3.590,0.1288,169.04
2024-01-12 16:00:00,11.116,3.750,0.1308,161.17
2024-01-12 17:00:00,10.553,3.967,0.1319,154.03
2024-01-12 18:00:00,11.115,3.918,0.1300,148.85
2024-01-12 19:00:00,10.484,3.877,0.1337,153.38
2024-01-12 20:00:00,11.120,3.690,0.1273,164.34
2024-01-12 21:00:00,9.802,3.541,0.1284,167.90
2024-01-12 22:00:00,9.539,3.212,0.1215,165.78
2024-01-12 23:00:00,9.017,2.834,0.1190,173.56
2024-01-13 00:00:00,0.000,2.339,0.1125,250.84
2024-01-13 01:00:00,0.000,2.018,0.1084,269.15
2024-01-13 02:00:00,0.000,1.645,0.1064,265.03
2024-01-13 03:00:00,0.000,1.262,0.1006,274.33
2024-01-13 04:00:00,0.000,1.041,0.1009,275.62
2024-01-13 05:00:00,0.000,0.851,0.0987,268.14
2024-01-13 06:00:00,0.000,0.806,0.0977,270.57
2024-01-13 07:00:00,1.436,0.876,0.0973,250.82
2024-01-13 08:00:00,2.710,0.996,0.1005,236.14
2024-01-13 09:00:00,4.181,1.234,0.1009,230.53
2024-01-13 10:00:00,5.430,1.569,0.1060,214.41
2024-01-13 11:00:00,6.932,1.930,0.1093,194.08
2024-01-13 12:00:00,7.815,2.391,0.1144,194.04
2024-01-13 13:00:00,8.950,2.750,0.1212,170.53
2024-01-13 14:00:00,9.463,3.122,0.1218,174.24
2024-01-13 15:00:00,9.834,3.491,0.1281,168.08
2024-01-13 16:00:00,10.998,3.763,0.1310,154.14
2024-01-13 17:00:00,11.255,4.036,0.1292,150.73
2024-01-13 18:00:00,10.863,3.883,0.1346,150.88
2024-01-13 19:00:00,10.465,3.981,0.1311,154.81
2024-01-13 20:00:00,10.638,3.878,0.1299,154.85
2024-01-13 21:00:00,10.159,3.581,0.1258,154.47
2024-01-13 22:00:00,9.786,3.135,0.1235,163.44
2024-01-13 23:00:00,8.812,2.755,0.1211,183.30
2024-01-14 00:00:00,0.000,2.339,0.1137,272.55
2024-01-14 01:00:00,0.000,1.997,0.1113,274.43
2024-01-14 02:00:00,0.000,1.647,0.1050,255.76
2024-01-14 03:00:00,0.000,1.257,0.1002,258.82
2024-01-14 04:00:00,0.000,1.017,0.0991,263.43
2024-01-14 05:00:00,0.000,0.848,0.0983,255.10
2024-01-14 06:00:00,0.000,0.812,0.0975,253.22
2024-01-14 07:00:00,1.500,0.864,0.0957,255.74
2024-01-14 08:00:00,2.714,1.020,0.0991,231.60
2024-01-14 09:00:00,4.028,1.305,0.1007,227.24
2024-01-14 10:00:00,5.401,1.619,0.1036,217.99
2024-01-14 11:00:00,6.914,1.967,0.1120,195.91
2024-01-14 12:00:00,8.045,2.383,0.1153,190.87
2024-01-14 13:00:00,8.409,2.837,0.1183,168.80
2024-01-14 14:00:00,9.926,3.237,0.1246,174.23
2024-01-14 15:00:00,10.191,3.472,0.1283,156.52
2024-01-14 16:00:00,11.122,3.856,0.1271,162.97
2024-01-14 17:00:00,11.380,3.933,0.1308,154.79
2024-01-14 18:00:00,10.552,4.065,0.1310,160.90
2024-01-14 19:00:00,11.423,3.849,0.1290,157.73
2024-01-14 20:00:00,10.603,3.744,0.1309,157.45
2024-01-14 21:00:00,9.813,3.429,0.1287,156.33
2024-01-14 22:00:00,9.494,3.184,0.1231,161.25
2024-01-14 23:00:00,8.355,2.773,0.1205,182.05
